company_name,country_code,state_code,region,city,company_category_list,funding_round_type,funding_round_code,announced_on,raised_amount_usd,raised_amount,raised_amount_currency_code,post_money_valuation_usd,post_money_valuation,pre_money_currency_code,investor_count,investor_names,cb_url,company_uuid,funding_round_uuid
Keen IO,USA,CA,SF Bay Area,San Francisco,Analytics|Automotive|Big Data|Cloud Computing|Data Visualization|Developer APIs|Infrastructure|Software,seed,,2013-10-23,2350000,,,,,,11,"500 Startups, Amplify Partners, Drummond Road Capital, George Karidis, Jason Seats, Loren Siebert, Morris Wheeler, Pelion Venture Partners, Rincon Venture Partners, Sam Choi, XG Ventures",https://www.crunchbase.com/organization/keen,eac4a68e-03ff-e3ac-8cfb-afba249d4f0f,55ca06ac-f8ae-67ae-ada8-bc4829ca6315
MariaDB,FIN,,Helsinki,Espoo,Software,venture,B,2013-10-23,20000000,,,,,,5,"California Technology Ventures, Finnish Industry Investment, Intel Capital, Open Ocean, Spintop Ventures",https://www.crunchbase.com/organization/skysql,6c0475be-37d7-1353-4cf1-c527fc6beff9,26bb295b-60dd-5e50-104c-d80119dc1647
Pinterest,USA,CA,SF Bay Area,San Francisco,Curated Web|Social Bookmarking|Social Media,venture,E,2013-10-23,225000000,,,4025000000,4025000000,,6,"Andreessen Horowitz, Bessemer Venture Partners, blisce/, Fidelity Investments, FirstMark Capital, Valiant Capital Partners",https://www.crunchbase.com/organization/pinterest,8f83e283-e00b-8101-d79b-bf2dd6914d6e,7292462d-ce7d-cb2a-ae07-1e2c7a7fdcb7
Securly,USA,CA,SF Bay Area,Santa Clara,Consumer Electronics|EdTech|Software,seed,,2013-10-23,3000000,,,,,,5,"FOUNDER.org, Idea Bulb Ventures, Imagine K12, InnoSpring Seed Fund, ZhenFund",https://www.crunchbase.com/organization/securly,e7fa5e5b-61fe-5cff-3203-b0041ccfd5f4,8adff042-05d6-5297-0881-3d7b9f2ad447
Outbrain,ISR,,Netanya,Netanya,Content Discovery,venture,E,2013-10-22,35000000,,,,,,8,"Carmel Ventures, Gemini Israel Ventures, GlenRock Israel, HarbourVest Partners, Index Ventures, Lightspeed Venture Partners, Rhodium, Vintage Investment Partners",https://www.crunchbase.com/organization/outbrain,d009376f-1c2c-c996-1caf-218c4140ec8c,a87096ad-5b09-5a61-eb2a-33ee291e931d
Prism Skylabs,USA,CA,SF Bay Area,San Francisco,Analytics|Business Intelligence|Enterprise Software|Retail|Security|Video,venture,B,2013-10-22,15000000,,,,,,6,"Data Collective, Expa, Intel Capital, Presidio Ventures, QueensBridge Venture Partners, Triangle Peak Partners",https://www.crunchbase.com/organization/prism-skylabs,be669a7d-7467-6862-060d-efeca09260ab,714bb6b7-08d4-6977-efc4-9dbec3af59b1
Inventorum,DEU,,Berlin,Berlin,Software,seed,,2013-10-21,,,,,,,5,"Heissam Hartmann, High-Tech Gruenderfonds, K - Invest Beteiligungsgesellschaft GmbH & Co. KG, MCB Salt, Vogel Ventures",https://www.crunchbase.com/organization/inventorum,a36e6f39-3a77-0f58-2c68-8e84f9e582c0,4a5c5a85-f9ff-5efd-1480-e14faed088c5
Panorama Education,USA,MA,Boston,Boston,Analytics|Big Data|Education,seed,,2013-10-21,4000000,,,,,,22,"A-Grade Investments, Alexis Ohanian, Ashton Kutcher, Dalton Caldwell, Eric Ries, Farzad (Zod) Nazem, Garry Tan, Geoff Ralston, GV, Jeff Clavier, Joe Green, Mark Zuckerberg, Maynard Webb, Nick Ducoff, Osama Bedier, Paul Buchheit, Sam Altman, SoftTech VC, Startup:Education, SV Angel, Webb Investment Network, YEI Innovation Fund",https://www.crunchbase.com/organization/panorama-education,3dd712f8-0f6d-2a6e-a007-4f503cc823b0,d21097d9-a325-3a5f-588a-9d2c561f4d17
OKpanda,USA,NY,New York City,New York,Education,seed,,2013-10-20,1400000,,,,,,9,"500 Startups, Blaine Vess, Ilan Abehassera, Innovation Endeavors, Kapor Capital, Lee Linden, Max Burger, Resolute.vc, Roger Dickey",https://www.crunchbase.com/organization/smart-bites,c11bc1d9-0d42-f304-d42d-cd04acba6901,9b793063-f97f-be27-eafd-c60bba8c078d
Chukong Technologies,CHN,,Beijing,Beijing,Android|Developer Tools|iOS|Mobile,venture,D,2013-10-18,50000000,,,,,,6,"Creaturk, GGV Capital, New Horizon Capital, Northern Light Venture Capital, Sequoia Capital, Steamboat Ventures",https://www.crunchbase.com/organization/chukong-technologies,abf5249d-30e6-7806-2fa6-3df8d7db552f,25c2a253-dc94-b270-a2e6-b4ab362af931
Breathometer,USA,CA,SF Bay Area,Burlingame,Consumer Electronics|Hardware|Health Care|Internet of Things|Mobile|Quantified Self|Software,seed,,2013-10-17,1600000,,,4900000,4900000,,7,"Daymond John, Dillon Hill Capital, Kevin O'Leary, Lori Greiner, Mark Cuban, Robert Herjavec, Structure Capital",https://www.crunchbase.com/organization/breathometer,e75621a0-856d-ec8d-eb67-8caac904b565,f3e6ad1c-1f5e-07d9-01db-2b974ac41947
Data Elite,USA,CA,SF Bay Area,San Francisco,Finance,seed,,2013-10-17,,,,,,,5,"Anand Rajaraman, Andreessen Horowitz, Formation 8, Ron Conway, Social Capital",https://www.crunchbase.com/organization/data-elite,7a30950b-3e92-47d0-20e5-400aafc4fa1e,77b4dd4f-5831-2197-1d16-7cc03d1d6e6b
Viridis Learning,USA,NY,New York City,New York,Curated Web|Enterprise Software|Recruiting|SaaS,undisclosed,,2013-10-17,,,,,,,8,"Blue Ridge Foundation, CNF Investments, LLC, Comcast Ventures, Dauk/Wagner Investments, Elba Ortiz, Expansion Venture Capital, Felix W Ortiz III, Ulu Ventures",https://www.crunchbase.com/organization/viridis-learning,53e52555-f0c9-345b-1a45-77c3c1c25ad3,c9d161d2-8b5e-2cf5-e4b2-3dcc294d0b7f
Wilocity,ISR,,Netanya,Caesarea,,venture,D,2013-10-17,35000000,,,,,,7,"Atheros Communications, Benchmark, Jerusalem Global Ventures, Marvell Technology, Sequoia Capital, Tallwood Venture Capital, Vintage Investment Partners",https://www.crunchbase.com/organization/wilocity,46e2257b-99cb-2a45-9ab0-f2fbf1deeba3,6cbe794b-9ce3-b49e-a228-1e6cfcafa694
Fancred,USA,MA,Boston,Boston,Apps|Internet|Mobile|Social Media|Sports,seed,,2013-10-16,1500000,,,,,,9,"Atlas Venture, Ed Godin, Elisabeth Bentel Carpenter, Howard Brodsky, Jay Batson, Linda Pizzuti Henry, Michael Mark, Militello Capital, Star Power",https://www.crunchbase.com/organization/fancred,0231a620-26f3-b58a-f011-e9dbe45873fb,3a1aea4d-0ca6-0aec-606d-aa8547091abf
Minted,USA,CA,SF Bay Area,San Francisco,Art|Crowdsourcing|E-Commerce|Home Decor,venture,C,2013-10-16,41000000,,,,,,7,"Allen & Company, Benchmark, Jeremy Stoppelman, Julia Hartz, Marissa Mayer, Slow Ventures, Technology Crossover Ventures (TCV)",https://www.crunchbase.com/organization/minted,25cce7d7-f0ce-73f0-fcce-851228be232e,3a9beb9e-270a-9752-54a8-bb8f38fb0cc0
